NoirLab,SOAR,SPARC4,Mandatory,INST_SPEC,S2026A,Default,Type,Nullable,Allowed_Values,Comment
SIMPLE,SIMPLE,SIMPLE,y,n,SIMPLE,T,Boolean,FALSE,,Standard FITS (NOST-100-2.0)
BSCALE,BSCALE,BSCALE,y,n,BSCALE,1,Integer,TRUE,,Linear factor in scaling equation
BZERO,BZERO,BZERO,y,n,BZERO,32768,Float,TRUE,,value = fits-value*BSCALE+BZERO
BUNIT,,,n,n,BUNIT,adu,String,TRUE,,Physical unit of array values
BITPIX,BITPIX,BITPIX,y,n,BITPIX,16,Integer,TRUE,,# bits storing pix values
NAXIS,NAXIS,NAXIS,y,n,NAXIS,2,Integer,FALSE,,# of axes in frame
NAXIS1,NAXIS1,NAXIS1,y,n,NAXIS1,2080,Integer,FALSE,,# of pixels/row
NAXIS2,NAXIS2,NAXIS2,y,n,NAXIS2,2048,Integer,FALSE,,# of rows (also # of scan lines)
EXTEND,,,y,n,EXTEND,T,Boolean,FALSE,,Extensions may be present
PROG_ID,PROPID,PROJID,y,n,PROPID,OP2025B-001,String,FALSE,,The identification code assigned to each observing run by the Science Committee
,PROPOSAL,,n,n,PROPOSAL,SOAR,String,TRUE,,
OBSERVER,OBSERVER,OBSERVER,n,n,OBSERVER,CHIMERA,String,TRUE,,Name of the observer
OBJECT,OBJECT,OBJECT,n,n,OBJECT,NGC1234,String,TRUE,,Target as given by the user
ORIGIN,,,n,n,ORIGIN,LNA,String,TRUE,,Who delivers the data
TELESCOP,TELESCOP,,n,n,TELESCOP,PE160,String,TRUE,,Telescope name
,SITEID,,n,n,SITEID,OPD,String,TRUE,,Observatory/Site
OBSLONG,,OBSLONG,n,n,OBSLONG,,Float,TRUE,"-180,180","Observatory East Longitude (DEG, -180 to 180)"
OBSLAT,,OBSLAT,n,n,OBSLAT,,Float,TRUE,"-90,90","Observatory North Latitude (DEG, -90 to 90)"
OBSALT,,OBSALT,n,n,OBSALT,,float,TRUE,"0,inf",Observatory elevation above sea level (m)
INSTRUME,INSTRUME,INSTRUME,y,n,INSTRUME,SPARC4,String,FALSE,,Instrument used
OBSTECH,,INSTMODE,y,y,INSTMODE,PHOTOMETRY,String,TRUE,,Technique used during the observation
